timestamp_computer,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_diameter,right_pupil_validity,right_pupil_diameter,right_pupil_validity
1611163768.9479058,"(0.922931969165802, 0.00860529113560915)","(0.913786768913269, 0.07264196872711182)",4.373992919921875,1,4.082794189453125,1
1611163768.9937887,"(0.9232167601585388, 0.007670131977647543)","(0.9146285057067871, 0.07223902642726898)",4.37762451171875,1,4.09039306640625,1
1611163769.0476437,"(0.9241571426391602, 0.006605985574424267)","(0.9142071008682251, 0.07356332242488861)",4.383941650390625,1,4.0966949462890625,1
1611163769.0935209,"(0.9247580170631409, 0.005067314486950636)","(0.9148009419441223, 0.07214569300413132)",4.387725830078125,1,4.0951385498046875,1
1611163769.1403632,"(0.9252318739891052, 0.0035872492007911205)","(0.915686309337616, 0.07260485738515854)",4.3903350830078125,1,4.10150146484375,1
1611163769.19829,"(0.9279918074607849, 0.0013890332775190473)","(0.9144566059112549, 0.07005730271339417)",4.3948211669921875,1,4.0997772216796875,1
1611163769.252146,"(0.9279237389564514, 0.002327786758542061)","(0.9143865704536438, 0.07066567242145538)",4.396209716796875,1,4.107757568359375,1
1611163769.3040097,"(0.9284085631370544, 0.0016691217897459865)","(0.915995717048645, 0.06702076643705368)",4.398284912109375,1,4.111480712890625,1
1611163769.3568604,"(0.9287241697311401, 0.0002506663731765002)","(0.917185366153717, 0.06697679311037064)",4.3948974609375,1,4.109344482421875,1
1611163769.4047046,"(0.9295225143432617, -0.0001482444495195523)","(0.9188095331192017, 0.06800229847431183)",4.3914337158203125,1,4.1017303466796875,1
1611163769.4396439,"(0.930479109287262, -0.0005985544412396848)","(0.9172598123550415, 0.06767123192548752)",4.3898468017578125,1,4.1038665771484375,1
1611163769.4935045,"(0.9246537089347839, 0.001830871100537479)","(0.9159554243087769, 0.06981244683265686)",4.3911590576171875,1,4.1026763916015625,1
1611163769.546361,"(0.9215845465660095, 0.005040463991463184)","(0.9151178002357483, 0.08943501114845276)",4.39251708984375,1,4.104034423828125,1
1611163769.6002142,"(0.8202488422393799, 0.005267301574349403)","(0.9224880337715149, 0.06857892870903015)",4.3972320556640625,1,4.16900634765625,1
1611163769.654071,"(0.670061469078064, 0.0031887220684438944)","(nan, nan)",4.376739501953125,0,nan,0
1611163769.700945,"(0.6346688270568848, 0.01688135229051113)","(0.6082155108451843, 0.020227406173944473)",4.3719329833984375,1,4.12493896484375,1
1611163769.7538035,"(0.5498622059822083, 0.038026414811611176)","(0.5643010139465332, 0.04195110872387886)",4.3557891845703125,1,4.1169891357421875,1
1611163769.7956915,"(0.5158051252365112, 0.057387564331293106)","(0.5276182293891907, 0.05519203096628189)",4.3531341552734375,1,4.1261749267578125,1
1611163769.8485515,"(0.41423702239990234, 0.07907290011644363)","(0.4576205611228943, 0.06808207184076309)",4.33892822265625,1,4.1328277587890625,1
1611163769.8844538,"(0.304887056350708, 0.10006729513406754)","(0.3773159682750702, 0.08842505514621735)",4.305816650390625,1,4.1307220458984375,1
1611163769.9383101,"(0.304887056350708, 0.10006729513406754)","(0.3525799512863159, 0.08884129673242569)",4.305816650390625,1,4.123504638671875,1
1611163769.9921672,"(0.24840550124645233, 0.1059890165925026)","(0.2901100814342499, 0.09579945355653763)",4.2868499755859375,1,4.10687255859375,1
1611163770.0510087,"(0.18853211402893066, 0.10848141461610794)","(0.21778978407382965, 0.08105173707008362)",4.266204833984375,1,4.082550048828125,1
1611163770.1108494,"(0.18853211402893066, 0.10848141461610794)","(0.21778978407382965, 0.08105173707008362)",4.266204833984375,1,4.082550048828125,1
1611163770.163712,"(0.13786885142326355, 0.10678049921989441)","(0.16180673241615295, 0.07946877926588058)",4.2703704833984375,1,4.070709228515625,1
1611163770.198582,"(0.105394147336483, 0.10643699765205383)","(0.1053064838051796, 0.06969038397073746)",4.248504638671875,1,4.0703582763671875,1
1611163770.2564545,"(0.105394147336483, 0.10643699765205383)","(0.10867098718881607, 0.06991494446992874)",4.248504638671875,1,4.072723388671875,1
1611163770.3143,"(0.1108957976102829, 0.10601954162120819)","(0.10927485674619675, 0.06812749058008194)",4.240203857421875,1,4.0735626220703125,1
1611163770.3372386,"(0.10637558996677399, 0.11132368445396423)","(0.110593281686306, 0.0684259906411171)",4.246063232421875,1,4.0693817138671875,1
1611163770.3761404,"(0.10637558996677399, 0.11132368445396423)","(0.10720919817686081, 0.0671217069029808)",4.246063232421875,1,4.07025146484375,1
1611163770.4299953,"(0.1066555380821228, 0.11262444406747818)","(0.10600940138101578, 0.06548260152339935)",4.2470703125,1,4.06976318359375,1
1611163770.4589176,"(0.10623127967119217, 0.1110374853014946)","(0.10426639765501022, 0.06759502738714218)",4.23858642578125,1,4.06982421875,1
1611163770.5117764,"(0.11203918606042862, 0.12429949641227722)","(0.10422655940055847, 0.07058477401733398)",4.2188873291015625,1,4.0657806396484375,1
1611163770.5466828,"(0.11092079430818558, 0.12338422983884811)","(0.10457511991262436, 0.07200589776039124)",4.2201690673828125,1,4.0644989013671875,1
1611163770.6005392,"(0.11058343201875687, 0.12234146147966385)","(0.10515425354242325, 0.07281811535358429)",4.2199249267578125,1,4.0626068115234375,1
1611163770.6414294,"(0.10411930084228516, 0.10821398347616196)","(0.10507006198167801, 0.06983873248100281)",4.2400360107421875,1,4.065399169921875,1
1611163770.7012699,"(0.10427500307559967, 0.10694877058267593)","(0.10505805909633636, 0.06948522478342056)",4.2415008544921875,1,4.061676025390625,1
1611163770.7362888,"(0.10613982379436493, 0.10380606353282928)","(0.10551898181438446, 0.06927334517240524)",4.241363525390625,1,4.0571441650390625,1
1611163770.7841601,"(0.10613982379436493, 0.10380606353282928)","(0.10597801208496094, 0.07052373886108398)",4.241363525390625,1,4.0529937744140625,1
1611163770.8360264,"(0.10646283626556396, 0.10527431964874268)","(0.10619859397411346, 0.06900458037853241)",4.236907958984375,1,4.0536956787109375,1
1611163770.888885,"(0.10223156213760376, 0.10936055332422256)","(0.10419321805238724, 0.06773918867111206)",4.2373046875,1,4.054046630859375,1
1611163770.939744,"(0.0845276415348053, 0.10718360543251038)","(0.10324405878782272, 0.06663577258586884)",4.2249755859375,1,4.050201416015625,1
1611163770.9995897,"(0.06873100996017456, 0.10843593627214432)","(0.07734191417694092, 0.06700178235769272)",4.2240753173828125,1,4.042694091796875,1
1611163771.0346143,"(0.06000291928648949, 0.11295884102582932)","(0.057997655123472214, 0.057400621473789215)",4.2092132568359375,1,4.040618896484375,1
1611163771.0814848,"(0.061154622584581375, 0.1030934602022171)","(0.05894153192639351, 0.059054695069789886)",4.2144775390625,1,4.0455169677734375,1
1611163771.1283603,"(0.062033601105213165, 0.10442992299795151)","(0.06229798495769501, 0.05680088326334953)",4.2154388427734375,1,4.04595947265625,1
1611163771.1812263,"(0.059543877840042114, 0.1064440906047821)","(0.060496632009744644, 0.058473117649555206)",4.2193145751953125,1,4.0434417724609375,1
1611163771.2340853,"(0.05869503319263458, 0.10826051235198975)","(0.059818413108587265, 0.05650140345096588)",4.2200775146484375,1,4.036529541015625,1
1611163771.286907,"(0.05759942904114723, 0.1076882928609848)","(0.06013629585504532, 0.056069985032081604)",4.2214202880859375,1,4.04119873046875,1
1611163771.3218462,"(0.05776960030198097, 0.10840930789709091)","(0.059800729155540466, 0.05589824914932251)",4.2230072021484375,1,4.043914794921875,1
1611163771.3747077,"(0.05805204436182976, 0.1121014878153801)","(0.05887843295931816, 0.05461132898926735)",4.226654052734375,1,4.0517578125,1
1611163771.4105756,"(0.05660710483789444, 0.11317085474729538)","(0.05873613432049751, 0.052964288741350174)",4.2308502197265625,1,4.0545806884765625,1
1611163771.4504979,"(0.05614473670721054, 0.11314793676137924)","(0.057726431638002396, 0.0527920238673687)",4.235809326171875,1,4.0609130859375,1
1611163771.4864013,"(0.05943220853805542, 0.1186114102602005)","(0.058065153658390045, 0.051403824239969254)",4.2305145263671875,1,4.0689544677734375,1
1611163771.5402298,"(0.05914312228560448, 0.11748594045639038)","(0.059050217270851135, 0.05057758092880249)",4.2351837158203125,1,4.073272705078125,1
1611163771.5921235,"(0.058851584792137146, 0.11583957076072693)","(0.0595703199505806, 0.048399750143289566)",4.2388763427734375,1,4.0767669677734375,1
1611163771.6399622,"(0.05932830646634102, 0.11761509627103806)","(0.058745190501213074, 0.047968603670597076)",4.244415283203125,1,4.0803985595703125,1
1611163771.6739006,"(0.05784553289413452, 0.11654913425445557)","(0.057842057198286057, 0.04743143171072006)",4.248199462890625,1,4.0818939208984375,1
1611163771.7277555,"(0.05821859836578369, 0.11613258719444275)","(0.05781219154596329, 0.046861693263053894)",4.2514190673828125,1,4.08856201171875,1
1611163771.7806146,"(0.05652736499905586, 0.11239046603441238)","(0.05798345431685448, 0.04561620578169823)",4.2566680908203125,1,4.090545654296875,1
1611163771.8304527,"(0.055803194642066956, 0.10605975240468979)","(0.055342596024274826, 0.041273050010204315)",4.257659912109375,1,4.095245361328125,1
1611163771.8713772,"(0.05284425616264343, 0.09992770105600357)","(0.04908135160803795, 0.0254143625497818)",4.2564544677734375,1,4.1003265380859375,1
1611163771.9012964,"(0.05216359347105026, 0.09996623545885086)","(0.045577581971883774, 0.019783105701208115)",4.2612152099609375,1,4.100341796875,1
1611163771.9312165,"(0.0535501204431057, 0.0986015722155571)","(0.04723566025495529, 0.01757541112601757)",4.2576751708984375,1,4.1031036376953125,1
1611163771.9850767,"(0.05227062478661537, 0.10232432931661606)","(0.04992321878671646, 0.019745510071516037)",4.260894775390625,1,4.106353759765625,1
1611163772.0319479,"(0.05227062478661537, 0.10232432931661606)","(0.05032799020409584, 0.017617909237742424)",4.260894775390625,1,4.10894775390625,1
1611163772.05389,"(0.05261215940117836, 0.10081356763839722)","(0.04964001104235649, 0.014864051714539528)",4.2684326171875,1,4.11395263671875,1
1611163772.1077452,"(0.053334299474954605, 0.09972364455461502)","(0.04833636432886124, 0.013056807219982147)",4.2719879150390625,1,4.117523193359375,1
1611163772.1426508,"(0.053334299474954605, 0.09972364455461502)","(0.047069001942873, 0.012672947719693184)",4.2719879150390625,1,4.122772216796875,1
1611163772.1965094,"(0.052469830960035324, 0.09666434675455093)","(0.046133000403642654, 0.012864947319030762)",4.268157958984375,1,4.1219482421875,1
1611163772.230384,"(0.05458591505885124, 0.09637423604726791)","(0.04675411805510521, 0.011326484382152557)",4.2626953125,1,4.1211395263671875,1
1611163772.2832747,"(0.05458591505885124, 0.09637423604726791)","(0.046013396233320236, 0.008451229892671108)",4.2626953125,1,4.124359130859375,1
1611163772.337134,"(0.05406787991523743, 0.09614858776330948)","(0.045762430876493454, 0.010172263719141483)",4.2522125244140625,1,4.128753662109375,1
1611163772.3660488,"(0.051098208874464035, 0.09379733353853226)","(0.04555261507630348, 0.011407867074012756)",4.2541046142578125,1,4.1303863525390625,1
1611163772.4199104,"(0.051098208874464035, 0.09379733353853226)","(0.04522060230374336, 0.006772852037101984)",4.2541046142578125,1,4.13201904296875,1
1611163772.4737322,"(0.05134286358952522, 0.09402818977832794)","(0.044913776218891144, 0.004582596011459827)",4.2621307373046875,1,4.1251678466796875,1
1611163772.5016916,"(0.052066173404455185, 0.09571893513202667)","(0.045928388833999634, 0.0024497301783412695)",4.26129150390625,1,4.1204681396484375,1
1611163772.5356593,"(0.052066173404455185, 0.09571893513202667)","(0.04654938727617264, 0.0036409965250641108)",4.26129150390625,1,4.113067626953125,1
1611163772.588647,"(0.05210470035672188, 0.09212681651115417)","(0.048163458704948425, 0.0006551280966959894)",4.25421142578125,1,4.1143035888671875,1
1611163772.648491,"(0.05156407132744789, 0.09140416979789734)","(0.047675032168626785, -0.0013477433240041137)",4.2498321533203125,1,4.1178741455078125,1
1611163772.7013485,"(0.05156407132744789, 0.09140416979789734)","(0.04761432483792305, -0.0012096756836399436)",4.2498321533203125,1,4.1172943115234375,1
1611163772.7552018,"(0.05231316387653351, 0.08916711807250977)","(0.04720000550150871, -0.003168434137478471)",4.2501678466796875,1,4.11749267578125,1
1611163772.8030744,"(0.05294131487607956, 0.08598147332668304)","(0.04585089534521103, -0.0046866838820278645)",4.25103759765625,1,4.1161041259765625,1
1611163772.8569024,"(0.05294131487607956, 0.08598147332668304)","(0.045919425785541534, -0.005341028794646263)",4.25103759765625,1,4.1133575439453125,1
